id                           ,lvl1                            ,lvl2
13730                        ,Arts & Entertainment            ,TV & Video
10556                        ,Arts & Entertainment            ,TV & Video
10562                        ,Arts & Entertainment            ,TV & Video
13388                        ,Arts & Entertainment            ,Visual Art & Design
13595                        ,Arts & Entertainment            ,Visual Art & Design
10005                        ,Beauty & Personal Care          ,
10050                        ,Beauty & Personal Care          ,Anti-Aging
11434                        ,Beauty & Personal Care          ,Anti-Aging
13422                        ,Beauty & Personal Care          ,Body Art
10898                        ,Beauty & Personal Care          ,Body Art
10315                        ,Beauty & Personal Care          ,Body Art
13636                        ,Beauty & Personal Care          ,Fashion & Style
13637                        ,Beauty & Personal Care          ,Fashion & Style
13638                        ,Beauty & Personal Care          ,Fashion & Style
11414                        ,Beauty & Personal Care          ,Fashion & Style
10055                        ,Beauty & Personal Care          ,Hair Care
10335                        ,Beauty & Personal Care          ,Hair Care
10337                        ,Beauty & Personal Care          ,Hair Care
10477                        ,Beauty & Personal Care          ,Hair Care
11727                        ,Beauty & Personal Care          ,Hair Care
11726                        ,Beauty & Personal Care          ,Hair Care
10336                        ,Beauty & Personal Care          ,Hair Care
10339                        ,Beauty & Personal Care          ,Hair Care
10340                        ,Beauty & Personal Care          ,Hair Care
10333                        ,Beauty & Personal Care          ,Hair Care
10338                        ,Beauty & Personal Care          ,Hair Care
10332                        ,Beauty & Personal Care          ,Hair Care
10060                        ,Beauty & Personal Care          ,Hygiene & Toiletries
10355                        ,Beauty & Personal Care          ,Hygiene & Toiletries
10354                        ,Beauty & Personal Care          ,Hygiene & Toiletries
10356                        ,Beauty & Personal Care          ,Hygiene & Toiletries
11432                        ,Beauty & Personal Care          ,Hygiene & Toiletries
11433                        ,Beauty & Personal Care          ,Hygiene & Toiletries
13866                        ,Beauty & Personal Care          ,Insect Repellent
10053                        ,Beauty & Personal Care          ,Lip Care
10054                        ,Beauty & Personal Care          ,Make-Up & Cosmetics
10325                        ,Beauty & Personal Care          ,Make-Up & Cosmetics
10329                        ,Beauty & Personal Care          ,Make-Up & Cosmetics
10324                        ,Beauty & Personal Care          ,Make-Up & Cosmetics
11419                        ,Beauty & Personal Care          ,Make-Up & Cosmetics
11420                        ,Beauty & Personal Care          ,Make-Up & Cosmetics
10327                        ,Beauty & Personal Care          ,Make-Up & Cosmetics
10330                        ,Beauty & Personal Care          ,Make-Up & Cosmetics
10323                        ,Beauty & Personal Care          ,Make-Up & Cosmetics
10331                        ,Beauty & Personal Care          ,Make-Up & Cosmetics
10051                        ,Beauty & Personal Care          ,Nail Care
10322                        ,Beauty & Personal Care          ,Nail Care
10320                        ,Beauty & Personal Care          ,Nail Care
10321                        ,Beauty & Personal Care          ,Nail Care
10319                        ,Beauty & Personal Care          ,Nail Care
10059                        ,Beauty & Personal Care          ,Oral Care
10345                        ,Beauty & Personal Care          ,Oral Care
10349                        ,Beauty & Personal Care          ,Oral Care
10347                        ,Beauty & Personal Care          ,Oral Care
10353                        ,Beauty & Personal Care          ,Oral Care
10348                        ,Beauty & Personal Care          ,Oral Care
10346                        ,Beauty & Personal Care          ,Oral Care
10351                        ,Beauty & Personal Care          ,Oral Care
10352                        ,Beauty & Personal Care          ,Oral Care
11431                        ,Beauty & Personal Care          ,Oral Care
11430                        ,Beauty & Personal Care          ,Oral Care
10350                        ,Beauty & Personal Care          ,Oral Care
10057                        ,Beauty & Personal Care          ,Perfumes & Fragrances
10058                        ,Beauty & Personal Care          ,Shaving & Grooming
10342                        ,Beauty & Personal Care          ,Shaving & Grooming
11425                        ,Beauty & Personal Care          ,Shaving & Grooming
12726                        ,Beauty & Personal Care          ,Shaving & Grooming
13244                        ,Beauty & Personal Care          ,Shaving & Grooming
13243                        ,Beauty & Personal Care          ,Shaving & Grooming
12727                        ,Beauty & Personal Care          ,Shaving & Grooming
13246                        ,Beauty & Personal Care          ,Shaving & Grooming
13245                        ,Beauty & Personal Care          ,Shaving & Grooming
10343                        ,Beauty & Personal Care          ,Shaving & Grooming
12724                        ,Beauty & Personal Care          ,Shaving & Grooming
11422                        ,Beauty & Personal Care          ,Shaving & Grooming
12725                        ,Beauty & Personal Care          ,Shaving & Grooming
12723                        ,Beauty & Personal Care          ,Shaving & Grooming
11423                        ,Beauty & Personal Care          ,Shaving & Grooming
10047                        ,Beauty & Personal Care          ,Skin Care
10309                        ,Beauty & Personal Care          ,Skin Care
11410                        ,Beauty & Personal Care          ,Skin Care
11411                        ,Beauty & Personal Care          ,Skin Care
12721                        ,Beauty & Personal Care          ,Skin Care
11412                        ,Beauty & Personal Care          ,Skin Care
12722                        ,Beauty & Personal Care          ,Skin Care
10310                        ,Beauty & Personal Care          ,Skin Care
13850                        ,Beauty & Personal Care          ,Skin Care
10061                        ,Beauty & Personal Care          ,Skin Care
10358                        ,Beauty & Personal Care          ,Skin Care
10359                        ,Beauty & Personal Care          ,Skin Care
10049                        ,Beauty & Personal Care          ,Spa & Medical Spa
10316                        ,Beauty & Personal Care          ,Spa & Medical Spa
10314                        ,Beauty & Personal Care          ,Spa & Medical Spa
10317                        ,Beauty & Personal Care          ,Spa & Medical Spa
11418                        ,Beauty & Personal Care          ,Spa & Medical Spa
11417                        ,Beauty & Personal Care          ,Spa & Medical Spa
11416                        ,Beauty & Personal Care          ,Spa & Medical Spa
11415                        ,Beauty & Personal Care          ,Spa & Medical Spa
12939                        ,Beauty & Personal Care          ,Spa & Medical Spa
13704                        ,Beauty & Personal Care          ,Spa & Medical Spa
13705                        ,Beauty & Personal Care          ,Spa & Medical Spa
13446                        ,Beauty & Personal Care          ,Spa & Medical Spa
10048                        ,Beauty & Personal Care          ,Tanning & Sun Care
10311                        ,Beauty & Personal Care          ,Tanning & Sun Care
11413                        ,Beauty & Personal Care          ,Tanning & Sun Care
10313                        ,Beauty & Personal Care          ,Tanning & Sun Care
10312                        ,Beauty & Personal Care          ,Tanning & Sun Care
10004                        ,Business & Industrial           ,
13864                        ,Business & Industrial           ,Aerospace & Defense
13460                        ,Business & Industrial           ,Agriculture
11194                        ,Business & Industrial           ,Agriculture
12444                        ,Business & Industrial           ,Agriculture
12438                        ,Business & Industrial           ,Agriculture
12440                        ,Business & Industrial           ,Agriculture
12443                        ,Business & Industrial           ,Agriculture
13159                        ,Business & Industrial           ,Agriculture
13160                        ,Business & Industrial           ,Agriculture
12439                        ,Business & Industrial           ,Agriculture
12441                        ,Business & Industrial           ,Agriculture
12434                        ,Business & Industrial           ,Agriculture
12436                        ,Business & Industrial           ,Agriculture
11074                        ,Business & Industrial           ,Agriculture
11076                        ,Business & Industrial           ,Agriculture
12357                        ,Business & Industrial           ,Agriculture
12356                        ,Business & Industrial           ,Agriculture
12552                        ,Business & Industrial           ,Agriculture
11073                        ,Business & Industrial           ,Agriculture
11188                        ,Business & Industrial           ,Agriculture
12428                        ,Business & Industrial           ,Agriculture
12427                        ,Business & Industrial           ,Agriculture
11083                        ,Business & Industrial           ,Agriculture
12423                        ,Business & Industrial           ,Agriculture
13156                        ,Business & Industrial           ,Agriculture
13157                        ,Business & Industrial           ,Agriculture
12422                        ,Business & Industrial           ,Agriculture
12366                        ,Business & Industrial           ,Agriculture
11078                        ,Business & Industrial           ,Agriculture
13375                        ,Business & Industrial           ,Agriculture
11190                        ,Business & Industrial           ,Agriculture
12430                        ,Business & Industrial           ,Agriculture
12429                        ,Business & Industrial           ,Agriculture
11192                        ,Business & Industrial           ,Agriculture
12432                        ,Business & Industrial           ,Agriculture
12433                        ,Business & Industrial           ,Agriculture
12365                        ,Business & Industrial           ,Agriculture
12361                        ,Business & Industrial           ,Agriculture
12360                        ,Business & Industrial           ,Agriculture
12364                        ,Business & Industrial           ,Agriculture
12431                        ,Business & Industrial           ,Agriculture
11301                        ,Business & Industrial           ,Agriculture
10282                        ,Business & Industrial           ,Building Construction & Maintenance
13797                        ,Business & Industrial           ,Building Construction & Maintenance
10700                        ,Business & Industrial           ,Building Construction & Maintenance
11281                        ,Business & Industrial           ,Building Construction & Maintenance
13867                        ,Business & Industrial           ,Building Construction & Maintenance
11299                        ,Business & Industrial           ,Building Construction & Maintenance
12616                        ,Business & Industrial           ,Building Construction & Maintenance
12617                        ,Business & Industrial           ,Building Construction & Maintenance
12613                        ,Business & Industrial           ,Building Construction & Maintenance
11139                        ,Business & Industrial           ,Building Construction & Maintenance
12614                        ,Business & Industrial           ,Building Construction & Maintenance
11294                        ,Business & Industrial           ,Building Construction & Maintenance
11295                        ,Business & Industrial           ,Building Construction & Maintenance
11286                        ,Business & Industrial           ,Building Construction & Maintenance
12585                        ,Business & Industrial           ,Building Construction & Maintenance
12586                        ,Business & Industrial           ,Building Construction & Maintenance
12587                        ,Business & Industrial           ,Building Construction & Maintenance
11288                        ,Business & Industrial           ,Building Construction & Maintenance
12598                        ,Business & Industrial           ,Building Construction & Maintenance
11136                        ,Business & Industrial           ,Building Construction & Maintenance
12599                        ,Business & Industrial           ,Building Construction & Maintenance
12596                        ,Business & Industrial           ,Building Construction & Maintenance
12594                        ,Business & Industrial           ,Building Construction & Maintenance
12593                        ,Business & Industrial           ,Building Construction & Maintenance
12600                        ,Business & Industrial           ,Building Construction & Maintenance
12595                        ,Business & Industrial           ,Building Construction & Maintenance
11283                        ,Business & Industrial           ,Building Construction & Maintenance
12425                        ,Business & Industrial           ,Building Construction & Maintenance
11138                        ,Business & Industrial           ,Building Construction & Maintenance
11151                        ,Business & Industrial           ,Building Construction & Maintenance
11133                        ,Business & Industrial           ,Building Construction & Maintenance
11141                        ,Business & Industrial           ,Building Construction & Maintenance
11154                        ,Business & Industrial           ,Building Construction & Maintenance
11145                        ,Business & Industrial           ,Building Construction & Maintenance
11276                        ,Business & Industrial           ,Building Construction & Maintenance
11297                        ,Business & Industrial           ,Building Construction & Maintenance
11148                        ,Business & Industrial           ,Building Construction & Maintenance
11275                        ,Business & Industrial           ,Building Construction & Maintenance
13158                        ,Business & Industrial           ,Building Construction & Maintenance
12445                        ,Business & Industrial           ,Building Construction & Maintenance
13731                        ,Business & Industrial           ,Building Construction & Maintenance
11143                        ,Business & Industrial           ,Building Construction & Maintenance
11132                        ,Business & Industrial           ,Building Construction & Maintenance
11284                        ,Business & Industrial           ,Building Construction & Maintenance
12582                        ,Business & Industrial           ,Building Construction & Maintenance
11147                        ,Business & Industrial           ,Building Construction & Maintenance
12584                        ,Business & Industrial           ,Building Construction & Maintenance
13803                        ,Business & Industrial           ,Building Construction & Maintenance
12583                        ,Business & Industrial           ,Building Construction & Maintenance
11277                        ,Business & Industrial           ,Building Construction & Maintenance
11287                        ,Business & Industrial           ,Building Construction & Maintenance
13219                        ,Business & Industrial           ,Building Construction & Maintenance
13222                        ,Business & Industrial           ,Building Construction & Maintenance
12589                        ,Business & Industrial           ,Building Construction & Maintenance
13199                        ,Business & Industrial           ,Building Construction & Maintenance
13193                        ,Business & Industrial           ,Building Construction & Maintenance
13196                        ,Business & Industrial           ,Building Construction & Maintenance
13204                        ,Business & Industrial           ,Building Construction & Maintenance
13200                        ,Business & Industrial           ,Building Construction & Maintenance
13201                        ,Business & Industrial           ,Building Construction & Maintenance
13197                        ,Business & Industrial           ,Building Construction & Maintenance
13203                        ,Business & Industrial           ,Building Construction & Maintenance
13202                        ,Business & Industrial           ,Building Construction & Maintenance
13198                        ,Business & Industrial           ,Building Construction & Maintenance
13195                        ,Business & Industrial           ,Building Construction & Maintenance
13194                        ,Business & Industrial           ,Building Construction & Maintenance
13319                        ,Business & Industrial           ,Building Construction & Maintenance
12590                        ,Business & Industrial           ,Building Construction & Maintenance
13213                        ,Business & Industrial           ,Building Construction & Maintenance
13207                        ,Business & Industrial           ,Building Construction & Maintenance
13210                        ,Business & Industrial           ,Building Construction & Maintenance
13216                        ,Business & Industrial           ,Building Construction & Maintenance
13206                        ,Business & Industrial           ,Building Construction & Maintenance
13215                        ,Business & Industrial           ,Building Construction & Maintenance
13212                        ,Business & Industrial           ,Building Construction & Maintenance
13675                        ,Business & Industrial           ,Building Construction & Maintenance
13321                        ,Business & Industrial           ,Building Construction & Maintenance
13211                        ,Business & Industrial           ,Building Construction & Maintenance
13208                        ,Business & Industrial           ,Building Construction & Maintenance
13205                        ,Business & Industrial           ,Building Construction & Maintenance
13218                        ,Business & Industrial           ,Building Construction & Maintenance
13221                        ,Business & Industrial           ,Building Construction & Maintenance
13217                        ,Business & Industrial           ,Building Construction & Maintenance
13674                        ,Business & Industrial           ,Building Construction & Maintenance
12592                        ,Business & Industrial           ,Building Construction & Maintenance
13823                        ,Business & Industrial           ,Building Construction & Maintenance
13220                        ,Business & Industrial           ,Building Construction & Maintenance
11280                        ,Business & Industrial           ,Building Construction & Maintenance
11293                        ,Business & Industrial           ,Building Construction & Maintenance
11308                        ,Business & Industrial           ,Building Construction & Maintenance
12611                        ,Business & Industrial           ,Building Construction & Maintenance
12610                        ,Business & Industrial           ,Building Construction & Maintenance
12612                        ,Business & Industrial           ,Building Construction & Maintenance
12609                        ,Business & Industrial           ,Building Construction & Maintenance
11278                        ,Business & Industrial           ,Building Construction & Maintenance
11150                        ,Business & Industrial           ,Building Construction & Maintenance
11153                        ,Business & Industrial           ,Building Construction & Maintenance
12417                        ,Business & Industrial           ,Building Construction & Maintenance
11292                        ,Business & Industrial           ,Building Construction & Maintenance
12606                        ,Business & Industrial           ,Building Construction & Maintenance
12607                        ,Business & Industrial           ,Building Construction & Maintenance
11146                        ,Business & Industrial           ,Building Construction & Maintenance
12608                        ,Business & Industrial           ,Building Construction & Maintenance
13462                        ,Business & Industrial           ,Building Construction & Maintenance
12603                        ,Business & Industrial           ,Building Construction & Maintenance
12602                        ,Business & Industrial           ,Building Construction & Maintenance
13228                        ,Business & Industrial           ,Building Construction & Maintenance
13326                        ,Business & Industrial           ,Building Construction & Maintenance
13325                        ,Business & Industrial           ,Building Construction & Maintenance
13342                        ,Business & Industrial           ,Building Construction & Maintenance
13328                        ,Business & Industrial           ,Building Construction & Maintenance
13327                        ,Business & Industrial           ,Building Construction & Maintenance
13230                        ,Business & Industrial           ,Building Construction & Maintenance
13229                        ,Business & Industrial           ,Building Construction & Maintenance
13329                        ,Business & Industrial           ,Building Construction & Maintenance
12601                        ,Business & Industrial           ,Building Construction & Maintenance
13227                        ,Business & Industrial           ,Building Construction & Maintenance
13224                        ,Business & Industrial           ,Building Construction & Maintenance
13226                        ,Business & Industrial           ,Building Construction & Maintenance
13225                        ,Business & Industrial           ,Building Construction & Maintenance
13223                        ,Business & Industrial           ,Building Construction & Maintenance
13191                        ,Business & Industrial           ,Building Construction & Maintenance
12605                        ,Business & Industrial           ,Building Construction & Maintenance
11279                        ,Business & Industrial           ,Building Construction & Maintenance
11149                        ,Business & Industrial           ,Building Construction & Maintenance
11298                        ,Business & Industrial           ,Building Construction & Maintenance
11285                        ,Business & Industrial           ,Building Construction & Maintenance
11140                        ,Business & Industrial           ,Building Construction & Maintenance
